Treść,Tytuł filmu,Data i godzina publikacji filmu,Czas trwania,Wyświetlenia zamierzone,Średni czas oglądania,Średni procent obejrzenia (%),Kontynuowało oglądanie (%),Unikalni widzowie,Średnia liczba wyświetleń na widza,Nowi widzowie,Powracający widzowie,Przypadkowi widzowie,Stali widzowie,Przychody z transakcji (PLN),Transakcje,Przychody z transakcji (PLN),YouTube Premium (PLN),Reklamy na stronie odtwarzania filmu (PLN),Szacunkowe przychody z DoubleClick (PLN),Szacunkowe przychody z AdSense (PLN),Podbicia,Punkty za podbicia,Pozyskane subskrypcje,Utracone subskrypcje,Polubienia,Oceny negatywne,Polubienia / głosy na nie (%),Udostępnienia,Dodane komentarze,Przychody z reklam w YouTube (PLN),Wyświetlenia reklam,CPM wg odtworzeń (PLN),CPM (PLN),Szacowane odtworzenia generujące przychody,RPM (PLN),Czas oglądania playlisty (godziny),Wyświetlenia z playlist,Wyświetlenia filmów na włączenie playlisty,Wyświetlenia,Czas oglądania (w godzinach),Subskrybenci,Szacunkowe przychody (PLN),Wyświetlenia miniatur,Współczynnik klikalności wyświetlonych miniatur (%)
Wzd6FJVUHI0,Tajemnicze Kryptydy: Iceberg Część 1,"Mar 7, 2024",3974,52798,0:21:34,32.58,,,,,,,,0,0,,265.651,774.969,0,774.969,0,0,834,15,1533,31,98.02,107,66,1409.07,111583,35.945,12.628,39201,19.721,1096.7609,2469,1.1717,52798,18987.6511,819,1040.62,731425,4.28
GSzEAur2fn8,Tajemnica żony Macrona i klon Miley – Iceberg Teorie Spiskowe #8,"Aug 24, 2025",2714,67528,0:16:30,36.51,,,,,,,,5.698,1,5.698,288.463,1641.16,0,1641.16,152,122320,816,20,2094,87,96.01,188,118,2983.438,202137,49.023,14.759,60858,28.732,305.6696,713,2.5341,67528,18584.7571,796,1935.322,809273,5.81
cRieXrLW2es,"Tom Cruise i sekta, o której NIE WOLNO mówić","Oct 12, 2025",3001,58276,0:18:40,37.33,,,,,,,,0,0,,305.315,1216.346,0,1216.346,93,58530,523,11,1634,44,97.38,177,100,2211.482,157156,48.645,14.072,45462,26.129,126.9827,342,1.6019,58276,18134.7894,512,1521.661,971642,4.13
tSaybqpdavk,"Operowałem TO COŚ, Chirurg przerywa milczenie.","Dec 7, 2025",3550,65371,0:16:20,27.63,,,,,,,,0,0,,222.669,812.879,0,812.879,57,53450,465,7,1438,36,97.56,204,131,1477.719,135166,29.634,10.933,49865,15.977,76.6405,201,1.5547,65371,17808.5709,458,1035.548,800148,5.42
YA6mkra7b60,"Mroczne Sekrety Polski: Wampiry w Bieszczadach, Tajne Więzienia CIA i UFO w Gdyni.","Jun 22, 2025",2434,68273,0:14:45,36.36,,,,,,,,85.33,10,8.533,259.144,1218.231,0,1218.231,0,0,986,8,1853,33,98.25,167,103,2214.927,167791,38.04,13.201,58227,22.934,209.8596,621,2.2222,68273,16786.2874,978,1562.704,867444,5.2
FvNCut3nl04,Dlaczego Trump ściga ten gang? Iceberg Ostateczny,"Dec 15, 2025",31528,16370,0:59:58,11.41,,,,,,,,0,0,,286.079,442.435,0,442.435,53,49180,62,1,444,10,97.8,57,58,804.346,70559,66.773,11.4,12046,44.837,289.4751,240,1.3837,16370,16366.7761,61,728.514,212634,4.23
rtBVeUETgnw,Wszystkie Potwory z Koszmarów: Wielki Finał Kryptydy Iceberg,"Mar 9, 2025",18977,20615,0:46:49,14.75,,,,,,,,0,0,,265.442,456.318,0,456.318,0,0,92,4,594,8,98.67,52,41,830.642,64978,53.997,12.783,15383,35.066,685.19,589,2.0524,20615,16092.9335,88,721.76,344654,3.77
VEIcAoX5dlA,Czy Internet Naprawdę Umarł ?  - Teorie Spiskowe Iceberg 6,"Apr 23, 2025",3536,43830,0:21:51,37.1,0,,,,,,,0,0,,275.911,960.957,0,960.957,0,0,375,6,1113,23,97.98,122,90,1747.25,120560,58.927,14.493,29651,28.252,742.0253,1397,2.9512,43831,15973.096,369,1236.868,653612,4.43
wDI1LXOtKic,Najgroźniejsze gangi świata: Kartel z Tijuany i Różowe Pantery Iceberg 6,"Oct 5, 2025",4400,37360,0:24:56,34.01,,,,,,,,4.774,1,4.774,218.654,1355.696,0,1355.696,63,41200,266,2,602,10,98.37,52,29,2464.933,158176,77.911,15.583,31638,42.288,169.785,381,1.5282,37360,15532.3754,264,1579.124,665018,3.87
tUkPv_xcdeM,"Robiliśmy Rzeczy, Których Żałuję - Pracował w Strefie 51.","Oct 16, 2025",1848,69263,0:12:59,42.2,,,,,,,,14.238,1,14.238,224.816,1241.136,0,1241.136,61,37740,327,7,1146,34,97.12,103,71,2256.833,167206,37.754,13.497,59778,21.467,256.8976,827,1.9448,69263,15003.5555,320,1480.191,853685,5.77
